Country,Level,Answer,Longest
Brazil,150,"AGE, ARE, EAR, ERA, NAG, RAG, RAN, EARN, GEAR, NEAR, RAGE, RANG, ANGER, RANGE",ANGER
China,151,"AIR, ART, GUT, RAG, RAT, RIG, RUG, RUT, TAG, TAR, TUG, GAIT, GRIT, GUITAR",GUITAR
China,152,"ANY, CAN, CAP, CON, COP, COY, NAP, NAY, PAN, PAY, COPY, PONY, CANOPY",CANOPY
China,153,"ACT, BAT, CAB, CAT, COT, MAT, MOB, OAT, TAB, ATOM, BOAT, COAT, COMB, MOAT, TOMB, COMBAT",COMBAT
China,154,"ACT, ANT, CAN, CAT, TAN, VAN, VAT, CANT, VACANT",VACANT
China,155,"GOT, GUT, GUY, OUR, OUT, ROT, RUG, RUT, TOY, TRY, TUG, YOU, ROUT, TOUR, YOUR, YOGURT",YOGURT
China,156,"AIR, ARC, BAR, CAB, CAR, FAR, FIB, FIR, RIB, CRAB, FAIR, FABRIC",FABRIC
China,157,"PER, PET, PEER, TREE, EXERT, EXPERT",EXPERT
China,158,"DEN, DON, END, EON, LED, NOD, ODE, OLD, ONE, DOLE, DONE, LEND, LODE, LONE, NODE, NOODLE",NOODLE
China,159,"BET, BUS, BUT, LET, SET, SUE, TUB, USE, BELT, BEST, BLUE, STUB, TUBE, BUSTLE, SUBLET, SUBTLE",BUSTLE
China,160,"ATE, BAT, BAY, BET, BUT, BUY, BYE, EAT, TAB, TEA, TUB, YET, BEAT, TUBE, BEAUTY",BEAUTY
China,161,"BEE, BET, BEER, BEET, TREE, BETTER",BETTER
China,162,"DIN, DON, ION, NOD, NOW, OWN, WIN, WON, DOWN, WIND, WINDOW",WINDOW
China,163,"ALE, ATE, EAT, HAT, LET, TEA, THE, HALE, HALT, HATE, HEAL, HEAT, LATE, TALE, TEAL, HEALTH",HEALTH
China,164,"BOY, LOB, MOB, SLY, SOB, SOY, SYMBOL",SYMBOL
China,165,"ART, BAR, BAT, BIT, RAT, RIB, TAB, TAR, BAIT, BARB, RABBIT",RABBIT
China,166,"GEL, GET, HEN, LEG, LET, NET, TEN, THE, LENT, THEN, LENGTH",LENGTH
China,167,"ANT, ANY, IVY, NAY, TAN, TIN, VAN, VAT, VIA, NAVY, TINY, VAIN, VANITY",VANITY
China,168,"EGO, EON, GUN, HEN, HOG, HUE, HUG, ONE, GONE, HONE, HUGE, HUNG, ENOUGH",ENOUGH
China,169,"FIN, HIS, SIN, FISH, SHIN, FINISH",FINISH
China,170,"SHE, ECHO, HOSE, SHOE, CHOSE, CHOOSE",CHOOSE
Japan,171,"ADO, AND, DAM, DON, MAD, MAN, NOD, OLD, LAND, LOAD, LOAM, LOAN, MOAN, MOLD, NOMAD, ALMOND",ALMOND
Japan,172,"ANT, ATE, EAT, NET, TAN, TEA, TEN, ANTE, NEAT, TENT, TENANT",TENANT
Japan,173,"LOST, ROLL, SLOT, SORT, TOLL, STROLL",STROLL
Japan,174,"ARE, ARM, EAR, ERA, HAM, HEM, HER, MAR, RAM, HARE, HARM, HEAR, MARE, HAMMER",HAMMER
Japan,175,"BAD, BAR, BUD, BUS, DAB, DUB, RUB, SAD, BARD, DRAB, ABSURD",ABSURD
Japan,176,"BUN, BUT, NOT, NUB, NUT, OUT, TON, TUB, BOUT, TOUT, BUTTON",BUTTON
Japan,177,"ALE, BAN, BEE, EEL, LAB, LEE, NAB, ABLE, BALE, BANE, BEAN, BEEN, ELAN, LANE, LEAN, ENABLE",ENABLE
Japan,178,"EYE, RYE, GREY, GENRE, GREEN, ENERGY",ENERGY
Japan,179,"AGO, ALL, BAG, BOA, BOG, GAB, LAB, LAG, LOB, LOG, BALL, GOAL, GLOBAL",GLOBAL
Japan,180,"AND, APE, AXE, DEN, END, NAP, PAD, PAN, PEA, PEN, APEX, DEAN, NAPE, PANE, EXPAND",EXPAND
Japan,181,"ACE, ACT, ANT, ATE, CAN, CAT, EAT, NET, TAN, TEA, TEN, CANE, CANT, NEAT, ENACT, ACCENT",ACCENT
Japan,182,"DOE, DOT, DUE, DUO, ODE, OUT, TOE, DOTE, DUET, TUXEDO",TUXEDO
Japan,183,"ADO, ASH, HAD, HAS, HOW, SAD, SAW, SOW, WAD, WAS, WHO, DASH, SHOW, SODA, WASH, SHADOW",SHADOW
Japan,184,"BUN, EMU, MEN, NUB, RUB, RUE, RUM, RUN, BURN, MENU, NUMB, RUNE, NUMBER",NUMBER
Japan,185,"ATE, EAT, FAD, FAT, FED, FEE, TEA, DATE, DEAF, DEFT, FADE, FATE, FEAT, FEED, FEET, DEFEAT",DEFEAT
Japan,186,"RED, DEER, EDGE, REED, GREED, DEGREE",DEGREE
Japan,187,"DEN, DUE, DUN, END, SUE, SUN, USE, DUNE, SEND, SUDDEN",SUDDEN
Japan,188,"DAY, DRY, PAD, PAR, PAY, POD, PRO, RAP, RAY, ROD, DROP, PRAY, PROD, ROAD, YARD, PARODY",PARODY
Japan,189,"INK, INN, KIN, NAP, NIP, PAN, PIN, AKIN, PAIN, PINK, NAPKIN",NAPKIN
Japan,190,"ARE, ARK, ARM, EAR, ERA, ERR, MAR, RAM, MAKE, MARE, MARK, RAKE, RARE, REAR, MARKER, REMARK",MARKER
Turkey,191,"ION, LIT, LOT, NIL, NOT, OIL, TIN, TON, TOO, INTO, LION, LOOT, ONTO, TOOL, LOTION",LOTION
Turkey,192,"EEL, GEL, GET, LEG, LET, NET, TEN, GENE, GLEE, LENT, TEEN, GENTLE",GENTLE
Turkey,193,"ICE, NIP, PEN, PER, PIE, PIN, RIP, EPIC, NICE, PIER, PINE, REIN, RICE, RIPE, PRICE, PRINCE",PRINCE
Turkey,194,"AGE, AGO, EGO, GEM, HAM, HEM, HOG, GAME, HOME, HOMAGE",HOMAGE
Turkey,195,"BED, BID, BIN, DEN, DIN, END, HEN, HID, NIB, BEND, BIND, DINE, HIDE, HIND, BEHIND",BEHIND
Turkey,196,"AIL, AIR, ARC, CAR, LAG, RAG, RIG, GIRL, LAIR, LIAR, RAIL, GARLIC",GARLIC
Turkey,197,"CON, COT, NOT, TON, TOO, ONTO, COTTON",COTTON
Turkey,198,"CON, EON, KEN, NOR, ONE, ORE, CONE, CORE, CORK, CORN, KERN, NECK, NOCK, ONCE, ROCK, RECKON",RECKON
Turkey,199,"GET, HEW, HIT, THE, TIE, WET, WIG, WIT, TWIG, WHET, WHIT, WITH, EIGHT, WEIGH, WHITE, WEIGHT",WEIGHT
Turkey,200,"EON, MEN, MET, NET, NOT, ONE, TEN, TOE, TON, MOTE, NOTE, OMEN, TOME, TONE, MOMENT",MOMENT
Turkey,201,"HOLD, LOUD, LUSH, SOLD, SOUL, SHOULD",SHOULD
Turkey,202,"HIM, HIP, HIS, IMP, RIM, RIP, SIP, SIR, SHIP, PRISM, SHRIMP",SHRIMP
Turkey,203,"HER, HIT, IRE, THE, TIE, VET, VIE, HEIR, HIRE, HIVE, RITE, TIER, TIRE, RIVET, THEIR, THRIVE",THRIVE
Turkey,204,"ELF, SUE, USE, FUEL, FUSE, SELF, USEFUL",USEFUL
Turkey,205,"DIG, DIN, DOG, DON, GIN, GOD, ION, NOD, DOING, INDIGO",INDIGO
Turkey,206,"ARE, EAR, ERA, RUE, SEA, SUE, USE, RUSE, SURE, USER, ASSURE",ASSURE
Turkey,207,"PAD, PAR, PAW, RAP, RAW, WAD, WAR, DRAW, WARD, WARP, WRAP, UPWARD",UPWARD
Turkey,208,"CON, EON, ERR, ONE, ORC, ORE, CONE, CORE, CORN, ONCE, CORNER",CORNER
Turkey,209,"AIR, ART, RAT, TAR, VAT, VIA, TRIVIA",TRIVIA
Turkey,210,"EMU, MUM, SUE, SUM, USE, MUSE, MUSEUM",MUSEUM
Peru,211,"ANT, MAN, MAT, NOT, NUT, OAT, OUT, TAN, TON, ATOM, AUNT, MOAN, MOAT, TUNA, MOUNT, AMOUNT",AMOUNT
Peru,212,"ANT, FAN, FAT, FIN, FIT, INN, TAN, TIN, FAINT, INFANT",INFANT
Peru,213,"HOST, MOOT, MOST, MOTH, SHOT, SOOT, SHOOT, SMOOTH",SMOOTH
Peru,214,"HER, HOT, ORE, ROT, RYE, THE, TOE, TOY, TRY, YET, HERO, ROTE, THEY, TORE, OTHER, THEORY",THEORY
Peru,215,"AGE, ARE, EAR, EGG, ERA, GAG, RAG, AREA, GEAR, RAGE, GARAGE",GARAGE
Peru,216,"FIG, FIR, FUR, IRE, RIG, RUE, RUG, FIRE, URGE, GRIEF, FIGURE",FIGURE
Peru,217,"AIL, AIR, OAR, OIL, SIR, ALSO, LAIR, LIAR, ORAL, RAIL, SAIL, SILO, SOAR, SOIL, SOLAR, SAILOR",SAILOR
Peru,218,"DIM, DUE, MID, MUD, MUM, MIME, MEDIUM",MEDIUM
Peru,219,"DID, DIM, ELM, LED, LID, LIE, MID, IDLE, LIME, MILD, MILE, MIDDLE",MIDDLE
Peru,220,"AND, ANT, ART, RAN, RAT, SAD, SAT, TAN, TAR, DART, SAND, STAR, STAND, STRAND",STRAND
Peru,221,"EGO, EON, ONE, PEG, PEN, SON, SOP, GOES, GONE, NOSE, OPEN, POSE, SONG, SPONGE",SPONGE
Peru,222,"DID, IRE, LED, LID, LIE, RED, RID, DIRE, IDLE, RIDE, RIDDLE",RIDDLE
Peru,223,"ACE, AGE, ALE, GEL, LAG, LAY, LEG, LYE, CAGE, CLAY, GALE, LACE, LEGACY",LEGACY
Peru,224,"COP, COY, ICY, LIP, OIL, PLY, CLIP, COIL, COPY, PLOY, POLICY",POLICY
Peru,225,"RUE, RUN, SEE, SUE, SUN, USE, RUNE, RUSE, SEEN, SEER, SURE, USER, ENSUE, NURSE, SNEER, ENSURE",ENSURE
Peru,226,"ACT, CAT, CUT, SAC, SAT, CAST, CACTUS",CACTUS
Peru,227,"ACE, AGE, ANY, CAN, NAG, NAY, CAGE, CANE, AGENCY",AGENCY
Peru,228,"NOR, NOW, OAR, OWN, RAN, RAW, ROW, WAR, WON, ROAN, ROAR, WARN, WORN, ARROW, NARROW",NARROW
Peru,229,"CUE, ELM, EMU, SUE, SUM, USE, CLUE, MULE, MUSE, SLUM, MUSCLE",MUSCLE
Peru,230,"IRE, SET, SIR, SIT, TIE, REST, RISE, RITE, SIRE, SITE, STIR, TIER, TIRE, TRESS, RESIST, SISTER",RESIST
Mexico,231,"ACE, ARC, ARE, CAR, EAR, ERA, ERR, ACRE, CARE, RACE, RARE, REAR, CAREER",CAREER
Mexico,232,"NET, TEN, TIE, TIN, VET, VIE, TINE, VEIN, VENT, VINE, INVITE",INVITE
Mexico,233,"ATE, EAT, SAT, SEA, SET, SUE, TEA, USE, EAST, SEAT, TAUT, TEST, STATE, TASTE, ASTUTE, STATUE",ASTUTE
Mexico,234,"KEY, RUE, RUT, RYE, TRY, YET, TREK, TRUE, TURKEY",TURKEY
Mexico,235,"AIR, ARE, EAR, ERA, ERR, IRE, VIA, VIE, RARE, RAVE, REAR, RIVER, ARRIVE",ARRIVE
Mexico,236,"ANT, INN, ION, NOT, OAT, TAN, TIN, TON, INTO, IOTA, ANOINT, NATION",ANOINT
Mexico,237,"ANY, EON, NAY, ONE, NONE, ANNOY, ANYONE",ANYONE
Mexico,238,"IRE, RED, RID, SEE, SIR, DEER, DIRE, REED, RIDE, RISE, SEED, SEER, SIDE, SIRE, DESIRE, RESIDE",DESIRE
Mexico,239,"FIG, FIN, FIR, GIN, IRE, RIG, FERN, FINE, FIRE, GRIN, REIN, RING, GRIEF, REIGN, FINGER, FRINGE",FINGER
Mexico,240,"GOT, HOG, HOT, HOW, ROT, ROW, TOW, TWO, WHO, GROW, THROW, WORTH, GROWTH",GROWTH
Mexico,241,"HEN, HER, NEW, CHEW, CREW, WHEN, WRENCH",WRENCH
Mexico,242,"ILL, LIP, LOP, LOW, OIL, OWL, PILL, POLL, WILL, PILLOW",PILLOW
Mexico,243,"MAKE, MARE, MARK, MART, MATE, MEAT, RAKE, RATE, TAKE, TAME, TEAK, TEAM, TEAR, TERM, TRAM, MARKET",MARKET
Mexico,244,"JUT, SAD, SAT, DUST, JUST, STUD, ADJUST",ADJUST
Mexico,245,"DEN, DID, DIN, END, HEN, HID, DINE, HIDE, HIND, HIDDEN",HIDDEN
Mexico,246,"AREA, DARE, DEAR, PARE, PEAR, READ, REAP, DRAPE, PARADE",PARADE
Mexico,247,"BET, BUT, CUB, CUE, CUT, TUB, BUCK, CUBE, CUTE, TUBE, TUCK, BUCKET",BUCKET
Mexico,248,"BEE, EEL, FEE, FIB, LEE, LIE, BEEF, FEEL, FILE, FLEE, LIFE, BELIEF",BELIEF
Mexico,249,"ACT, CAT, HAT, CHAT, TACT, THAT, ATTACH",ATTACH
Mexico,250,"EGO, EON, ONE, GONE, ONYX, OXEN, OXYGEN",OXYGEN
Uae,251,"ANTE, AUNT, EARN, NEAR, NEAT, RANT, RATE, RENT, RUNE, TARN, TEAR, TRUE, TUNA, TUNE, TURN, NATURE",NATURE
Uae,252,"GUT, HAT, HUG, HUT, TAG, TUG, TAUT, THAT, THUG, TAUGHT",TAUGHT
Uae,253,"DEN, END, PEN, DEED, DEEP, NEED, DEPEND",DEPEND
Uae,254,"COP, COT, OPT, PET, POT, TOE, TOP, COPE, KEPT, PECK, POET, POKE, POCKET",POCKET
Uae,255,"AIL, AIM, FLY, LAY, MAY, YAM, FAIL, FILM, MAIL, FAMILY",FAMILY
Uae,256,"DIN, DON, ION, NOD, NOR, RID, ROD, DOOR, IRON, RIND, DONOR, INDOOR",INDOOR
Uae,257,"HALE, HALT, HATE, HEAL, HEAT, LATE, TALE, TEAL, THAW, WEAL, WELT, WHAT, WHET, WHALE, WHEAT, WEALTH",WEALTH
Uae,258,"MUM, SIT, SUM, MIST, MUST, SUIT, SUMMIT",SUMMIT
Uae,259,"BIN, BOB, ION, NOR, ORB, RIB, ROB, BORN, IRON, ROBIN, RIBBON",RIBBON
Uae,260,"ERR, NET, NUT, RUE, RUN, RUT, TEN, RENT, RUNE, TRUE, TUNE, TURN, RETURN",RETURN
Uae,261,"INK, KEN, KIN, KIT, NET, TEN, TIE, KITE, KNIT, TENT, TINE, TINT, KITTEN",KITTEN
Uae,262,"APE, HEN, NAP, PAN, PEA, PEN, HEAP, NAPE, PANE, HAPPEN",HAPPEN
Uae,263,"ACE, ACT, ATE, CAT, EAT, JET, TEA, CAKE, JACK, TACK, TAKE, TEAK, JACKET",JACKET
Uae,264,"AGE, ALE, EEL, LAG, LEE, LEG, LUG, GALE, GLEE, GLUE, EAGLE, LEAGUE",LEAGUE
Uae,265,"CAPE, CASE, CAST, EAST, PACE, PACT, PAST, PEAT, PEST, SEAT, SECT, STEP, TAPE, PASTE, SPACE, ASPECT",ASPECT
Uae,266,"ASK, SEA, SUE, USE, SAKE, QUAKE, SQUEAK",SQUEAK
Uae,267,"ELM, EMU, HEM, HUB, HUE, HUM, BLUE, HELM, MULE, HUMBLE",HUMBLE
Uae,268,"ACE, ACT, ALE, ATE, CAT, EAT, LET, TEA, LACE, LATE, TACT, TALC, TALE, TEAL, CATTLE",CATTLE
Uae,269,"ION, NIP, PIN, SIN, SIP, SON, SOP, SNIP, SOON, SPIN, SPOON, POISON",POISON
